id,price,price_m, total_square ,living_square,ratio_livtot,rooms,level,total_levels,not_ground_floor,not_last_floor,middle_floor,age,kitchen_type,bad_cond,old_cond,rough_cond,prefin_cond,average_cond,good_cond,high_cond,test,panel,brick,concrete,part_furniture,full_furniture,year,walls,condition,price_m_k,furniture,district_name,district_code
162.0,38800000.0,260403.0,149.0,90.0,0.6,3.0,5.0,6.0,1.0,1.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2002.0,m,high,260.4,1.0,NBH zhetysu-4,16.0
163.0,21500000.0,398148.0,54.0,49.0,0.91,1.0,8.0,14.0,1.0,1.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2005.0,m,high,398.1,2.0,NBH zhetysu-3,15.0
164.0,25000000.0,347947.0,71.9,44.7,0.62,3.0,7.0,9.0,1.0,1.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1993.0,p,good,347.9,1.0,NBH zhetysu-2,14.0
165.0,13800000.0,270588.0,51.0,25.2,0.49,1.0,9.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2018.0,m,rough,270.6,0.0,NBH zhetysu-3,15.0
166.0,13500000.0,329268.0,41.0,18.0,0.44,1.0,5.0,9.0,1.0,1.0,1.0,29.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1990.0,p,average,329.3,0.0,NBH zhetysu-1,13.0
167.0,68000000.0,503704.0,135.0,128.0,0.95,3.0,5.0,11.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2012.0,m,high,503.7,2.0,NBH zhetysu-3,15.0
168.0,16800000.0,455285.0,36.9,18.2,0.49,1.0,4.0,9.0,1.0,1.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1993.0,p,good,455.3,2.0,NBH zhetysu-2,14.0
169.0,30000000.0,384615.0,78.0,45.0,0.58,3.0,3.0,9.0,1.0,1.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1997.0,p,high,384.6,2.0,NBH zhetysu-2,14.0
170.0,32000000.0,320000.0,100.0,86.0,0.86,4.0,9.0,10.0,1.0,1.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1995.0,k,high,320.0,1.0,NBH zhetysu-3,15.0
171.0,24000000.0,338028.0,71.0,49.0,0.69,3.0,1.0,9.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2004.0,m,good,338.0,0.0,NBH zhetysu-3,15.0
172.0,23000000.0,368000.0,62.5,35.8,0.57,2.0,1.0,12.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2009.0,k,good,368.0,2.0,NBH zhetysu-3,15.0
173.0,26000000.0,369318.0,70.4,41.1,0.58,3.0,1.0,9.0,0.0,1.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1990.0,m,high,369.3,2.0,NBH zhetysu-1,13.0
174.0,15500000.0,378049.0,41.0,18.0,0.44,1.0,4.0,9.0,1.0,1.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1991.0,p,good,378.0,1.0,NBH zhetysu-1,13.0
175.0,35000000.0,437500.0,80.0,44.0,0.55,3.0,10.0,11.0,1.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2009.0,m,high,437.5,2.0,NBH zhetysu-3,15.0
176.0,25000000.0,409836.0,61.0,36.2,0.59,2.0,2.0,5.0,1.0,1.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1991.0,p,good,409.8,0.0,NBH aksaj-4,23.0
177.0,14000000.0,348259.0,40.2,18.0,0.45,1.0,5.0,9.0,1.0,1.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1989.0,p,good,348.3,2.0,NBH aksaj-4,23.0
178.0,28000000.0,325581.0,86.0,70.0,0.81,4.0,4.0,5.0,1.0,1.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1989.0,p,good,325.6,2.0,NBH aksaj-5,24.0
179.0,23100000.0,296154.0,78.0,54.0,0.69,2.0,9.0,9.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2006.0,m,average,296.2,1.0,NBH aksaj-1a,18.0
180.0,14000000.0,291667.0,48.0,18.0,0.38,1.0,3.0,5.0,1.0,1.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1989.0,p,good,291.7,1.0,NBH aksaj-3a,21.0
181.0,13900000.0,327059.0,42.5,18.5,0.44,1.0,3.0,5.0,1.0,1.0,1.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1990.0,p,good,327.1,0.0,NBH aksaj-5,24.0
182.0,10800000.0,337500.0,32.0,18.0,0.56,1.0,1.0,5.0,0.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1982.0,p,good,337.5,0.0,NBH aksaj-2,19.0
